date,thck
2024-08-30,-9999
2024-08-31,4.5099999
2024-09-01,10.3399998
2024-09-02,13.0899997
2024-09-03,4.4899999
2024-09-04,14.0099997
2024-09-05,17.0799996
2024-09-06,9.86999978
2024-09-07,11.9199997
2024-09-08,6.92999985
2024-09-09,2.95999993
2024-09-10,2.83999994
2024-09-11,-9999
2024-09-12,3.16999993
2024-09-13,-9999
2024-09-14,25.9299994
2024-09-15,4.09999991
2024-09-16,7.16999984
2024-09-17,10.7999998
2024-09-18,5.74999987
2024-09-19,8.16999982
2024-09-20,2.38999995
2024-09-21,16.7699996
2024-09-22,8.04999982
2024-09-23,13.6099997
2024-09-24,23.3099995
2024-09-25,-9999
2024-09-26,-9999
2024-09-27,-9999
2024-09-28,-9999
2024-09-29,9.63999978
2024-09-30,18.6199996
2024-10-01,15.2899997
2024-10-02,1.80999996
2024-10-03,-9999
2024-10-04,-9999
2024-10-05,-9999
2024-10-06,9.56999979
2024-10-07,15.0099997
2024-10-08,-9999
2024-10-09,1.75999996
2024-10-10,-9999
2024-10-11,-9999
2024-10-12,4.10999991
2024-10-13,-9999
2024-10-14,2.81999994
2024-10-15,-9999
2024-10-16,15.6399997
2024-10-17,3.61999992
2024-10-18,1.71999996
2024-10-19,0.729999984
2024-10-20,-9999
2024-10-21,-9999
2024-10-22,-9999
2024-10-23,-9999
2024-10-24,-9999
2024-10-25,-9999
2024-10-26,-9999
2024-10-27,-9999
2024-10-28,-9999
2024-10-29,0.399999991
2024-10-30,11.9699997
2024-10-31,18.3899996
2024-11-01,5.08999989
2024-11-02,28.8699994
2024-11-03,38.0899991
2024-11-04,10.0899998
2024-11-05,24.9699994
2024-11-06,4.3099999
2024-11-07,30.5999993
2024-11-08,6.48999985
2024-11-09,34.6399992
2024-11-10,28.5399994
2024-11-11,12.6299997
2024-11-12,27.8799994
2024-11-13,4.71999989
2024-11-14,25.0799994
2024-11-15,1.09999998
2024-11-16,6.56999985
2024-11-17,37.3099992
2024-11-18,10.4499998
2024-11-19,35.7399992
2024-11-20,32.2599993
2024-11-21,12.5199997
2024-11-22,-9999
2024-11-23,-9999
2024-11-24,61.9599986
2024-11-25,23.8299995
2024-11-26,19.8099996
2024-11-27,42.919999
2024-11-28,7.06999984
2024-11-29,13.2099997
2024-11-30,0.299999993
2024-12-01,-9999
2024-12-02,4.14999991
2024-12-03,-9999
2024-12-04,27.6599994
2024-12-05,4.6799999
2024-12-06,-9999
2024-12-07,14.2099997
2024-12-08,5.55999988
2024-12-09,3.12999993
2024-12-10,0.189999996
2024-12-11,-9999
2024-12-12,2.68999994
2024-12-13,19.0999996
2024-12-14,-9999
2024-12-15,0.379999992
2024-12-16,1.59999996
2024-12-17,2.23999995
2024-12-18,-9999
2024-12-19,-9999
2024-12-20,4.4099999
2024-12-21,15.2299997
2024-12-22,37.0499992
2024-12-23,5.24999988
2024-12-24,30.6299993
2024-12-25,0.589999987
2024-12-26,16.7899996
2024-12-27,44.539999
2024-12-28,43.899999
2024-12-29,80.0199982
2024-12-30,17.5699996
2024-12-31,28.2499994
2025-01-01,-9999
2025-01-02,4.05999991
2025-01-03,6.67999985
2025-01-04,2.89999994
2025-01-05,7.12999984
2025-01-06,11.4699997
2025-01-07,7.31999984
2025-01-08,1.85999996
2025-01-09,0.42999999
2025-01-10,-9999
