date,ctp-night
2024-07-25,-9999
2024-07-26,935.700014
2024-07-27,955.200014
2024-07-28,986.600015
2024-07-29,-9999
2024-07-30,962.000014
2024-07-31,957.700014
2024-08-01,937.500014
2024-08-02,962.300014
2024-08-03,939.600014
2024-08-04,977.500015
2024-08-05,960.000014
2024-08-06,-9999
2024-08-07,940.800014
2024-08-08,911.900014
2024-08-09,918.400014
2024-08-10,927.700014
2024-08-11,919.300014
2024-08-12,960.500014
2024-08-13,947.300014
2024-08-14,960.000014
2024-08-15,945.300014
2024-08-16,938.300014
2024-08-17,972.600014
2024-08-18,906.200014
2024-08-19,940.900014
2024-08-20,876.900013
2024-08-21,974.300015
2024-08-22,933.200014
2024-08-23,860.300013
2024-08-24,925.700014
2024-08-25,960.000014
2024-08-26,875.000013
2024-08-27,925.700014
2024-08-28,868.000013
2024-08-29,914.300014
2024-08-30,889.700013
2024-08-31,894.200013
2024-09-01,899.800013
2024-09-02,933.000014
2024-09-03,918.700014
2024-09-04,893.100013
2024-09-05,950.300014
2024-09-06,923.000014
2024-09-07,978.700015
2024-09-08,941.400014
2024-09-09,925.300014
2024-09-10,875.000013
2024-09-11,767.500011
2024-09-12,736.600011
2024-09-13,854.100013
2024-09-14,811.600012
2024-09-15,856.500013
2024-09-16,831.900012
2024-09-17,891.100013
2024-09-18,516.200008
2024-09-19,830.100012
2024-09-20,842.400013
2024-09-21,791.900012
2024-09-22,857.200013
2024-09-23,876.300013
2024-09-24,878.800013
2024-09-25,912.300014
2024-09-26,931.300014
2024-09-27,952.400014
2024-09-28,950.100014
2024-09-29,927.200014
2024-09-30,796.800012
2024-10-01,776.400012
2024-10-02,890.400013
2024-10-03,938.900014
2024-10-04,851.300013
2024-10-05,661.70001
2024-10-06,840.300013
2024-10-07,950.200014
2024-10-08,985.000015
2024-10-09,856.700013
2024-10-10,817.300012
2024-10-11,878.100013
2024-10-12,901.700013
2024-10-13,871.900013
2024-10-14,926.600014
2024-10-15,886.300013
2024-10-16,838.100012
2024-10-17,811.000012
2024-10-18,941.000014
2024-10-19,787.600012
2024-10-20,827.200012
2024-10-21,-9999
2024-10-22,888.400013
2024-10-23,966.500014
2024-10-24,838.400012
2024-10-25,966.100014
2024-10-26,964.200014
2024-10-27,976.300015
2024-10-28,958.700014
2024-10-29,877.500013
2024-10-30,821.200012
2024-10-31,863.600013
2024-11-01,620.500009
2024-11-02,891.500013
2024-11-03,464.200007
2024-11-04,971.000014
2024-11-05,937.300014
2024-11-06,903.200013
2024-11-07,908.200014
2024-11-08,650.90001
2024-11-09,838.900013
2024-11-10,802.200012
2024-11-11,474.400007
2024-11-12,973.000014
2024-11-13,926.200014
2024-11-14,865.700013
2024-11-15,927.000014
2024-11-16,852.800013
2024-11-17,551.800008
2024-11-18,764.000011
2024-11-19,691.90001
2024-11-20,856.300013
2024-11-21,928.300014
2024-11-22,935.500014
2024-11-23,889.400013
2024-11-24,691.70001
2024-11-25,554.600008
2024-11-26,-9999
2024-11-27,751.200011
2024-11-28,683.70001
2024-11-29,773.700012
2024-11-30,733.200011
2024-12-01,905.000013
2024-12-02,662.10001
2024-12-03,765.200011
2024-12-04,515.500008
2024-12-05,754.600011
2024-12-06,270.700004
2024-12-07,588.700009
2024-12-08,913.600014
2024-12-09,290.600004
2024-12-10,275.800004
2024-12-11,439.500007
2024-12-12,810.000012
2024-12-13,848.000013
2024-12-14,935.000014
2024-12-15,784.200012
2024-12-16,886.600013
2024-12-17,690.00001
2024-12-18,685.90001
2024-12-19,546.600008
2024-12-20,848.700013
2024-12-21,730.200011
2024-12-22,402.300006
2024-12-23,700.30001
2024-12-24,720.000011
2024-12-25,644.20001
2024-12-26,572.500009
2024-12-27,531.800008
2024-12-28,481.100007
2024-12-29,407.400006
2024-12-30,527.300008
2024-12-31,770.600011
2025-01-01,818.600012
2025-01-02,636.200009
2025-01-03,733.500011
2025-01-04,656.10001
2025-01-05,600.600009
2025-01-06,860.100013
2025-01-07,863.300013
2025-01-08,413.000006
2025-01-09,686.80001
2025-01-10,732.100011
2025-01-11,791.400012
2025-01-12,844.400013
2025-01-13,619.100009
2025-01-14,756.300011
2025-01-15,555.900008
2025-01-16,705.200011
2025-01-17,798.700012
2025-01-18,921.500014
2025-01-19,844.000013
2025-01-20,858.000013
2025-01-21,423.000006
2025-01-22,797.200012
2025-01-23,792.100012
2025-01-24,818.800012
2025-01-25,796.500012
2025-01-26,657.70001
2025-01-27,730.700011
2025-01-28,511.100008
2025-01-29,670.20001
2025-01-30,649.80001
2025-01-31,796.400012
2025-02-01,809.500012
2025-02-02,573.000009
2025-02-03,766.400011
2025-02-04,784.000012
2025-02-05,608.400009
2025-02-06,623.300009
2025-02-07,770.800011
2025-02-08,726.200011
2025-02-09,692.50001
2025-02-10,732.500011
2025-02-11,838.200012
2025-02-12,733.800011
2025-02-13,847.500013
2025-02-14,680.80001
2025-02-15,485.600007
2025-02-16,718.100011
2025-02-17,731.100011
2025-02-18,312.400005
